"filename", "language", "Shell Script", "JavaScript", "comment", "blank", "total"
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\chem\test-cases\stream_nest_circular2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\paper-suite-names.js", "JavaScript", 0, 5, 0, 0, 5
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\paper-tests-index.js", "JavaScript", 0, 30, 0, 9, 39
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\Code\Code.js", "JavaScript", 0, 11, 0, 5, 16
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\Code\test-cases\NestedStreams.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\DimensionalStacking\DimensionalStacking.js", "JavaScript", 0, 22, 0, 5, 27
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\DimensionalStacking\test-cases\part1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\ObamaVSTrumpSOTU\ObamaVSTrumpSOTU.js", "JavaScript", 0, 11, 0, 5, 16
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\ObamaVSTrumpSOTU\test-cases\final.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\ObamaVSTrumpSOTU\test-cases\part1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\ObamaVSTrumpSOTU\test-cases\part2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\ObamaVSTrumpSOTU\test-cases\temp.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\ObamaVSTrumpSOTU\test-cases\test.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\paper\test-suites\ObamaVSTrumpSOTU\test-cases\try2.js", "JavaScript", 0, 1, 0, 0, 1
